LAMA Price Audit — Cross-check vs In-Game Trade,,,,,,
Fill in App Price (from overlay/dashboard) and In-Game Price (from trade site). Disparity auto-calculates. Add notes for context.,,,,,,
2/20/26 fate of vaal trent,,,,,,
,,,,,,
Category,Item Name,App Price (exalted),In-Game Price (exalted),Disparity (exalted),Disparity %,Notes
CURRENCY,,,,,,
Exaclted,Divine Orb,305.0,302.0,-3.0,-1.0%,ashdjkahsdjk
Currency,Exalted Orb,25.0,11.0,-14.0,-56.0%,
exalted,Chaos Orb,11.0,12.0,+1.0,+9.1%,
chaos,Vaal Orb,0.6,10.0,+9.5,+1718.2%,"can't get app to display exalt price, so you get chaos"
chaos,Orb of Alchemy,0.1,0.9,+0.8,+1114.3%,
chaos,Orb of Annulment,4.8,4.0,-33.0,-89.2%,
div,Fracturing Orb,37.0,37.0,,,
div,Mirror of Kalandra,"7,847.0","7,799.0",-48.0,-0.6%,
chaos,Regal Orb,0.0,0.3,+0.2,+2400.0%,
chaos,Orb of Chance,0.3,1.6,+1.3,+515.4%,
,,,,,,
FRAGMENTS,,,,,,
chaos,Simulacrum Splinter,0.7,1.1,+0.4,+66.7%,app still showing chaos for most stuff
chaos,Breach Splinter,1.6,1.5,-0.1,-5.6%,
Fragments,Tablet Fragment,,,,,cant find in-game
Fragments,Precursor Tablet,,,,,cant find in-game
Fragments,Maven Splinter,,,,,cant find in-game
,,,,,,
ESSENCES,,,,,,
chaos,Greater Essence of the Body,0.2,0.1,-0.1,-44.4%,
chaos,Greater Essence of Haste,1.0,8.0,+7.0,+700.0%,
chaos,Greater Essence of Sorcery,1.6,16.0,+14.4,+900.0%,
chaos,Essence of the Body,0.1,1.0,+0.9,+1011.1%,
chaos,Essence of Flames,0.9,10.0,+9.1,+998.9%,
chaos,Essence of Ice,,10.0,,,not found in app
,,,,,,
RUNES,,,,,,
chaos,Iron Rune,9.6,100.0,+90.4,+941.7%,
chaos,Desert Rune,1.5,25.0,+23.5,+1566.7%,
chaos,Body Rune,0.1,1.0,+0.9,+1011.1%,
chaos,Mind Rune,2.7,25.0,+22.3,+825.9%,
chaos,Storm Rune,9.7,10.0,+0.3,+3.1%,
chaos,Glacial Rune,2.0,20.0,+18.0,+900.0%,
,,,,,,
EXPEDITION,,,,,,
chaos,Exotic Coinage,0.1,0.3,+0.2,+400.0%,
chaos,Astragali,,,,,not in app
chaos,Scrap Metal,,,,,not in app
chaos,Burial Medallion,,,,,not in app
,,,,,,
SOUL CORES,,,,,,
chaos,Soul Core of Tacati,1.6,1.3,-0.4,-21.9%,Located in app under Ultimatum tab
Soul Cores,Soul Core of Anapotia,,,,,cant find in app
chaos,Soul Core of Topotante,0.8,1.0,+0.2,+22.0%,under ultimatum tab
chaos,Soul Core of Puhuarte,0.8,18.0,+17.2,+2095.1%,"app labels .8 chaos, in-game 1 div. also found under ultimatum tab"
div,Soul Core of Zalatl,2.6,2.9,+0.3,+12.3%,under ultimatum tab
chaos,Soul Core of Opiloti,1.2,1.0,-0.2,-16.7%,under ultimatum tab
,,,,,,
UNCUT GEMS,,,,,,
chaos,Uncut Skill Gem (lvl 16),2.5,10.0,+7.5,+300.0%,
chaos,Uncut Skill Gem (lvl 19),1.4,3.0,+1.6,+114.3%,
chaos,Uncut Skill Gem (lvl 20),19.0,21.0,+2.0,+10.5%,
chaos,Uncut Spirit Gem (lvl 16),25.0,1.0,-24.0,-96.0%,
div,Uncut Spirit Gem (lvl 20),32.0,31.5,-0.5,-1.6%,
chaos,Uncut Support Gem (lvl 5),0.5,2.0,+1.5,+316.7%,
,,,,,,
ULTIMATUM,,,,,,
Ultimatum,Inscribed Ultimatum,,,,,cant find in app
Ultimatum,Catalyst of Corruption,,,,,cant find in app
Ultimatum,Trial Coins,,,,,cant find in app
,,,,,,
CATALYSTS,,,,,,
Catalysts,Tempering Catalyst,,,,,not in app
Catalysts,Prismatic Catalyst,,,,,not in app
