Summary,Issue Type,Epic Name,Epic Link,Description,Priority,Labels
Core Philosophy and Principles,Epic,Core Philosophy and Principles,,"Document the foundational business philosophy distilled from 20 years of experience. This is the 'why' behind every process and tool. Covers principles of efficiency; decision-making frameworks; anti-patterns to avoid; and the mental models that drive consistently good outcomes. This epic produces the intellectual foundation that all other epics build on.",High,playbook
Write the core efficiency manifesto,Story,,Core Philosophy and Principles,"A concise (10-20 page) document laying out the fundamental beliefs about how businesses should operate. Not generic MBA platitudes — specific; opinionated; battle-tested principles. Examples: 'Automate the second time; not the first'; 'Documentation is a product; not a chore'; 'Every process should have an owner and an expiration date'.",High,playbook
Document the decision-making framework,Story,,Core Philosophy and Principles,"A structured approach to making business and technical decisions efficiently. Covers: when to decide fast vs deliberate; how to evaluate trade-offs; reversible vs irreversible decisions; the cost of delayed decisions. Include decision templates and real examples.",High,playbook
Catalog common anti-patterns and failure modes,Story,,Core Philosophy and Principles,"Document the recurring mistakes you've seen across 20 years: premature optimization of processes; meeting culture replacing action; documentation debt; over-engineering; under-communicating; hero culture; etc. For each anti-pattern: description; how to recognize it; how to fix it; real-world example.",High,playbook
Write the build vs buy vs borrow framework,Story,,Core Philosophy and Principles,"When should a company build custom tools vs buy off-the-shelf vs adapt open source? A decision framework based on: strategic differentiation; maintenance burden; switching costs; team capability; time horizon. Include scoring rubric.",Medium,playbook
Document the 'right-size everything' principle,Story,,Core Philosophy and Principles,"The philosophy of matching effort to impact: not every problem needs a big solution. When a spreadsheet beats a database. When a script beats a platform. When a conversation beats a document. The art of knowing when 'good enough' is the right answer.",Medium,playbook
Rapid Prototyping and Product Development,Epic,Rapid Prototyping and Product Development,,"Document and tool-ify the methodology for going from idea to working prototype fast. Drawn from the POE2 overlay experience (0 to production in 12 sessions using AI-augmented development) and years of similar rapid builds. Covers ideation; scoping; iterative build; and launch patterns.",High,playbook;tools
Document the rapid prototype methodology,Story,,Rapid Prototyping and Product Development,"How to go from 'I have an idea' to 'it works and people are using it' in days not months. The session-based development approach (as demonstrated by the POE2 overlay). Covers: scoping to MVP; session planning; progress tracking; when to polish vs when to ship; how to avoid scope creep.",High,playbook
Build the project kickoff template,Story,,Rapid Prototyping and Product Development,"A reusable template/checklist for starting any new project: problem statement; success criteria; MVP scope; tech stack decision; first 3 milestones; known risks; who needs to know. Should be completable in 30 minutes — if it takes longer the project isn't well-scoped.",High,tools
Build the session planning template,Story,,Rapid Prototyping and Product Development,"A lightweight template for planning each development session (2-4 hours of focused work). Includes: goals for this session; blockers from last session; priority-ordered task list; definition of done. Inspired by the POE2 overlay session logs in TODO.md.",Medium,tools
Document the iterative shipping pattern,Story,,Rapid Prototyping and Product Development,"How to ship incrementally: what to include in v0.1 vs v0.5 vs v1.0. The art of slicing features into shippable increments. When to cut corners (prototype) vs when to invest in quality (foundation). Real examples from projects.",Medium,playbook
Build a scope control decision tree,Story,,Rapid Prototyping and Product Development,"A visual decision tree for 'should we add this feature now?'. Inputs: does it block launch?; how many users want it?; how hard is it?; does it compound?. Outputs: do it now; add to backlog; reject; defer to v2. Printable one-pager.",Medium,tools
AI-Augmented Development Methodology,Epic,AI-Augmented Development Methodology,,"Document how to use AI tools (Claude; GPT; Copilot; etc.) effectively for software development and business operations. Not 'AI is magic' hype — practical; honest guidance on where AI helps; where it hurts; and how to build AI-augmented workflows that actually work. Based on extensive hands-on experience with Claude Code.",High,playbook;tools
Write the AI-augmented development playbook,Story,,AI-Augmented Development Methodology,"Comprehensive guide to using AI coding assistants effectively. Covers: when to use AI vs code manually; how to write effective prompts; how to review AI-generated code; common failure modes; context management; the handoff document pattern (like CLAUDE_CODE_HANDOFF.md); and maintaining code quality with AI assistance.",High,playbook
Document the context management strategy,Story,,AI-Augmented Development Methodology,"How to maintain project context across AI sessions. The MEMORY.md pattern; the handoff document pattern; the TODO.md as living state. How to structure information so AI assistants can be productive immediately. What to persist vs what to regenerate.",High,playbook
Build the AI prompt template library,Story,,AI-Augmented Development Methodology,"A collection of proven prompt templates for common development tasks: debugging; refactoring; code review; architecture design; test writing; documentation; etc. Each template includes: the prompt; when to use it; expected output quality; common pitfalls.",Medium,tools
Document AI tool selection and evaluation,Story,,AI-Augmented Development Methodology,"Framework for evaluating AI tools: Claude Code vs Cursor vs Copilot vs ChatGPT vs others. Strengths/weaknesses of each. When to use which tool for which task. Cost/benefit analysis. How to avoid vendor lock-in. Updated evaluation criteria as tools evolve rapidly.",Medium,playbook
Write the AI quality assurance guide,Story,,AI-Augmented Development Methodology,"How to maintain code quality when AI is writing significant portions of the code. Review patterns; testing strategies; architectural guardrails; CLAUDE.md/rules files as constraints; when AI output needs human review vs when it can be trusted. The 'trust but verify' framework.",Medium,playbook
Document the multi-agent workflow pattern,Story,,AI-Augmented Development Methodology,"How to run multiple AI agents on a project simultaneously (as the user does with multiple Claude instances). Task decomposition; avoiding conflicts; merge strategies; when parallel agents help vs when they create chaos. The orchestration layer.",Medium,playbook
Process Engineering and Automation,Epic,Process Engineering and Automation,,"Document and build tools for designing; implementing; and automating business processes. The methodology for looking at any workflow and making it more efficient — not just with AI but with smart process design; appropriate automation; and continuous improvement.",High,playbook;tools
Write the process audit methodology,Story,,Process Engineering and Automation,"A step-by-step guide for auditing any business process: how to map the current state; identify bottlenecks; measure waste; classify steps (value-add vs necessary waste vs pure waste); and propose improvements. Include interview templates and observation guides.",High,playbook
Build the process mapping template toolkit,Story,,Process Engineering and Automation,"Templates and tools for documenting processes: flowchart templates; RACI matrices; swim-lane diagram generators; time-motion analysis sheets. Should be usable in common tools (Excel; Miro; Lucidchart) not locked into proprietary software.",Medium,tools
Document the automation decision framework,Story,,Process Engineering and Automation,"When to automate a process vs when to leave it manual. Factors: frequency; error rate; cost of errors; human judgment required; maintenance burden of automation; team capability. The ROI calculation template. Common automation traps (automating broken processes makes them faster but not better).",High,playbook
Build a workflow automation starter kit,Story,,Process Engineering and Automation,"Ready-to-customize automation templates for common business workflows: onboarding checklists; code review processes; release management; incident response; customer feedback loops. Built on accessible tools (GitHub Actions; Zapier; Power Automate; or simple scripts).",Medium,tools
Document the continuous improvement cycle,Story,,Process Engineering and Automation,"How to build a culture of continuous process improvement without it becoming bureaucratic. Lightweight retrospective formats; improvement backlogs; metrics that matter; the kaizen mindset adapted for tech teams. How to make improvement a habit not an initiative.",Medium,playbook
Knowledge Management and Documentation,Epic,Knowledge Management and Documentation,,"Document the methodology for capturing; organizing; and distributing institutional knowledge. How to prevent knowledge loss; reduce onboarding time; and build a culture where documentation is a first-class product. Includes the tooling patterns (handoff docs; memory files; living docs).",Medium,playbook;tools
Write the knowledge management playbook,Story,,Knowledge Management and Documentation,"Comprehensive guide to organizational knowledge management. Covers: what to document vs what to leave tribal; documentation formats for different purposes (reference; tutorial; decision record; runbook); ownership and maintenance; the documentation lifecycle.",Medium,playbook
